====================================================================================
NaSto
Fractional-step RK3 with projection
====================================================================================
nx              =      128
ny              =       64
dx              =   1.5625E-02
dy              =   1.5625E-02
dt              =   1.0000E-03
nu              =   1.0000E-06
rho             =   1.0000E+00
time            =   0.0000E+00
time_end        =   2.0000E+01
istep           =        0
nsteps          =    20000
log_every       =        1
restart_every   =      100
vtk_every       =      100
ascii_every     =      100
poisson_maxit   =     5000
poisson_tol     =   1.0000E-06
use_restart     = F
restart_file    = ./data/field_000000.bin
out_dir         = ./data
====================================================================================
------------------------------------------------------------------------------------------------
   It        time        div*     div_corr    CFL_adv   CFL_diff   p_conv   p_iter     p_res
------------------------------------------------------------------------------------------------
     1   1.000E-03   1.731E-03   4.914E-12   6.42E-02   8.19E-06       T     247   7.709E-07
     2   2.000E-03   3.017E-07   7.677E-12   6.42E-02   8.19E-06       T     152   9.932E-07
     3   3.000E-03   3.019E-07   8.009E-12   6.42E-02   8.19E-06       T     153   9.951E-07
     4   4.000E-03   3.020E-07   8.172E-12   6.42E-02   8.19E-06       T     142   9.980E-07
     5   5.000E-03   3.022E-07   8.134E-12   6.42E-02   8.19E-06       T     174   9.743E-07
     6   6.000E-03   3.023E-07   4.980E-12   6.42E-02   8.19E-06       T     113   9.963E-07
     7   7.000E-03   3.025E-07   4.891E-12   6.42E-02   8.19E-06       T     145   9.952E-07
     8   8.000E-03   3.026E-07   6.785E-12   6.42E-02   8.19E-06       T     193   9.127E-07
     9   9.000E-03   3.028E-07   5.857E-12   6.42E-02   8.19E-06       T     182   9.729E-07
    10   1.000E-02   3.033E-07   4.470E-12   6.42E-02   8.19E-06       T     181   9.052E-07
    11   1.100E-02   3.037E-07   6.791E-12   6.42E-02   8.19E-06       T     192   6.838E-07
    12   1.200E-02   3.041E-07   5.914E-12   6.42E-02   8.19E-06       T     189   8.868E-07
    13   1.300E-02   3.046E-07   5.584E-12   6.42E-02   8.19E-06       T     185   8.516E-07
    14   1.400E-02   3.050E-07   5.871E-12   6.42E-02   8.19E-06       T     185   9.834E-07
    15   1.500E-02   3.055E-07   7.459E-12   6.42E-02   8.19E-06       T     192   5.035E-07
    16   1.600E-02   3.059E-07   3.108E-12   6.42E-02   8.19E-06       T     196   3.965E-07
    17   1.700E-02   3.064E-07   4.645E-12   6.42E-02   8.19E-06       T     182   6.398E-07
    18   1.800E-02   3.069E-07   9.020E-12   6.42E-02   8.19E-06       T     112   9.900E-07
    19   1.900E-02   3.073E-07   7.523E-12   6.42E-02   8.19E-06       T     192   9.934E-07
    20   2.000E-02   3.078E-07   4.832E-12   6.42E-02   8.19E-06       T     140   9.948E-07
    21   2.100E-02   3.085E-07   1.134E-11   6.42E-02   8.19E-06       T     191   9.915E-07
    22   2.200E-02   3.092E-07   4.659E-12   6.42E-02   8.19E-06       T     199   9.269E-07
    23   2.300E-02   3.099E-07   1.015E-11   6.42E-02   8.19E-06       T     111   9.489E-07
    24   2.400E-02   3.107E-07   6.553E-12   6.42E-02   8.19E-06       T     180   6.500E-07
    25   2.500E-02   3.115E-07   8.711E-12   6.42E-02   8.19E-06       T     199   9.468E-07
    26   2.600E-02   3.122E-07   5.318E-12   6.42E-02   8.19E-06       T     204   9.679E-07
    27   2.700E-02   3.130E-07   5.594E-12   6.42E-02   8.19E-06       T     111   7.506E-07
    28   2.800E-02   3.138E-07   4.519E-12   6.42E-02   8.19E-06       T     201   9.910E-07
    29   2.900E-02   3.145E-07   5.898E-12   6.42E-02   8.19E-06       T     125   9.807E-07
    30   3.000E-02   3.153E-07   5.902E-12   6.42E-02   8.19E-06       T     207   9.480E-07
    31   3.100E-02   3.161E-07   4.843E-12   6.42E-02   8.19E-06       T     207   9.976E-07
    32   3.200E-02   3.169E-07   4.740E-12   6.42E-02   8.19E-06       T     207   8.467E-07
    33   3.300E-02   3.179E-07   5.676E-12   6.42E-02   8.19E-06       T     192   5.863E-07
    34   3.400E-02   3.189E-07   4.851E-12   6.42E-02   8.19E-06       T     199   8.550E-07
    35   3.500E-02   3.200E-07   5.516E-12   6.42E-02   8.19E-06       T     206   5.812E-07
    36   3.600E-02   3.211E-07   4.170E-12   6.42E-02   8.19E-06       T     201   9.265E-07
    37   3.700E-02   3.221E-07   7.320E-12   6.42E-02   8.19E-06       T     210   9.972E-07
    38   3.800E-02   3.232E-07   3.968E-12   6.42E-02   8.19E-06       T     205   7.989E-07
    39   3.900E-02   3.243E-07   4.751E-12   6.42E-02   8.19E-06       T     207   8.536E-07
    40   4.000E-02   3.254E-07   9.981E-12   6.42E-02   8.19E-06       T     191   9.690E-07
    41   4.100E-02   3.265E-07   5.010E-12   6.42E-02   8.19E-06       T     206   7.348E-07
    42   4.200E-02   3.276E-07   6.865E-12   6.42E-02   8.19E-06       T     203   9.974E-07
    43   4.300E-02   3.287E-07   5.771E-12   6.42E-02   8.19E-06       T     207   9.794E-07
    44   4.400E-02   3.298E-07   4.606E-12   6.42E-02   8.19E-06       T     210   8.533E-07
    45   4.500E-02   3.309E-07   3.149E-12   6.42E-02   8.19E-06       T     213   5.995E-07
    46   4.600E-02   3.322E-07   9.808E-12   6.42E-02   8.19E-06       T     194   8.256E-07
    47   4.700E-02   3.336E-07   3.073E-12   6.42E-02   8.19E-06       T     206   3.994E-07
    48   4.800E-02   3.350E-07   1.060E-11   6.42E-02   8.19E-06       T     205   9.493E-07
    49   4.900E-02   3.363E-07   9.578E-12   6.42E-02   8.19E-06       T     207   9.618E-07
------------------------------------------------------------------------------------------------
   It        time        div*     div_corr    CFL_adv   CFL_diff   p_conv   p_iter     p_res
------------------------------------------------------------------------------------------------
    50   5.000E-02   3.377E-07   4.736E-12   6.42E-02   8.19E-06       T     207   9.456E-07
    51   5.100E-02   3.391E-07   6.334E-12   6.42E-02   8.19E-06       T     216   9.463E-07
    52   5.200E-02   3.405E-07   7.692E-12   6.42E-02   8.19E-06       T     207   9.743E-07
    53   5.300E-02   3.419E-07   5.494E-12   6.42E-02   8.19E-06       T     206   9.768E-07
    54   5.400E-02   3.434E-07   1.067E-11   6.42E-02   8.19E-06       T     206   7.992E-07
    55   5.500E-02   3.448E-07   7.039E-12   6.42E-02   8.19E-06       T     206   9.165E-07
    56   5.600E-02   3.462E-07   6.936E-12   6.42E-02   8.19E-06       T     211   8.736E-07
    57   5.700E-02   3.476E-07   4.052E-12   6.42E-02   8.19E-06       T     209   6.195E-07
    58   5.800E-02   3.491E-07   1.335E-11   6.42E-02   8.19E-06       T     208   8.267E-07
    59   5.900E-02   3.505E-07   9.769E-12   6.42E-02   8.19E-06       T     207   9.403E-07
    60   6.000E-02   3.520E-07   3.186E-12   6.42E-02   8.19E-06       T     210   7.039E-07
    61   6.100E-02   3.537E-07   7.182E-12   6.42E-02   8.19E-06       T     206   5.501E-07
    62   6.200E-02   3.553E-07   8.025E-12   6.42E-02   8.19E-06       T     207   9.737E-07
    63   6.300E-02   3.570E-07   5.140E-12   6.42E-02   8.19E-06       T     210   9.622E-07
    64   6.400E-02   3.587E-07   7.153E-12   6.42E-02   8.19E-06       T     207   9.666E-07
    65   6.500E-02   3.604E-07   5.685E-12   6.42E-02   8.19E-06       T     199   4.038E-07
    66   6.600E-02   3.622E-07   6.680E-12   6.42E-02   8.19E-06       T     204   5.374E-07
    67   6.700E-02   3.639E-07   5.815E-12   6.42E-02   8.19E-06       T     208   9.932E-07
    68   6.800E-02   3.656E-07   3.582E-12   6.42E-02   8.19E-06       T     208   6.438E-07
    69   6.900E-02   3.673E-07   7.645E-12   6.42E-02   8.19E-06       T     207   9.212E-07
    70   7.000E-02   3.691E-07   1.122E-11   6.42E-02   8.19E-06       T     215   9.756E-07
    71   7.100E-02   3.708E-07   9.148E-12   6.42E-02   8.19E-06       T     194   9.166E-07
    72   7.200E-02   3.726E-07   8.428E-12   6.42E-02   8.19E-06       T     221   8.497E-07
    73   7.300E-02   3.743E-07   7.049E-12   6.42E-02   8.19E-06       T     210   9.901E-07
    74   7.400E-02   3.761E-07   6.968E-12   6.42E-02   8.19E-06       T     210   9.512E-07
    75   7.500E-02   3.779E-07   8.041E-12   6.42E-02   8.19E-06       T     213   9.224E-07
    76   7.600E-02   3.796E-07   5.043E-12   6.42E-02   8.19E-06       T     211   8.982E-07
    77   7.700E-02   3.816E-07   8.440E-12   6.42E-02   8.19E-06       T     215   9.856E-07
    78   7.800E-02   3.836E-07   6.076E-12   6.42E-02   8.19E-06       T     207   9.813E-07
    79   7.900E-02   3.856E-07   5.379E-12   6.42E-02   8.19E-06       T     210   9.235E-07
    80   8.000E-02   3.876E-07   4.251E-12   6.42E-02   8.19E-06       T     212   8.706E-07
    81   8.100E-02   3.896E-07   6.171E-12   6.42E-02   8.19E-06       T     210   9.860E-07
    82   8.200E-02   3.916E-07   3.713E-12   6.42E-02   8.19E-06       T     214   8.119E-07
    83   8.300E-02   3.937E-07   2.333E-12   6.42E-02   8.19E-06       T     214   3.966E-07
    84   8.400E-02   3.957E-07   5.226E-12   6.42E-02   8.19E-06       T     208   9.975E-07
    85   8.500E-02   3.978E-07   7.009E-12   6.42E-02   8.19E-06       T     216   7.486E-07
    86   8.600E-02   3.998E-07   6.727E-12   6.42E-02   8.19E-06       T     211   9.095E-07
    87   8.700E-02   4.019E-07   9.265E-12   6.42E-02   8.19E-06       T     212   9.476E-07
    88   8.800E-02   4.040E-07   7.783E-12   6.42E-02   8.19E-06       T     220   8.080E-07
    89   8.900E-02   4.060E-07   6.983E-12   6.42E-02   8.19E-06       T     211   9.724E-07
    90   9.000E-02   4.081E-07   7.466E-12   6.42E-02   8.19E-06       T     207   7.616E-07
    91   9.100E-02   4.102E-07   6.104E-12   6.42E-02   8.19E-06       T     213   9.981E-07
    92   9.200E-02   4.123E-07   5.410E-12   6.42E-02   8.19E-06       T     198   6.240E-07
    93   9.300E-02   4.144E-07   4.469E-12   6.42E-02   8.19E-06       T     209   4.328E-07
    94   9.400E-02   4.165E-07   6.237E-12   6.42E-02   8.19E-06       T     213   6.872E-07
    95   9.500E-02   4.187E-07   3.275E-12   6.42E-02   8.19E-06       T     211   3.532E-07
    96   9.600E-02   4.208E-07   5.826E-12   6.42E-02   8.19E-06       T     208   9.050E-07
    97   9.700E-02   4.231E-07   5.728E-12   6.42E-02   8.19E-06       T     221   9.872E-07
    98   9.800E-02   4.258E-07   8.471E-12   6.42E-02   8.19E-06       T     212   8.651E-07
    99   9.900E-02   4.297E-07   7.476E-12   6.42E-02   8.19E-06       T     214   9.386E-07
------------------------------------------------------------------------------------------------
   It        time        div*     div_corr    CFL_adv   CFL_diff   p_conv   p_iter     p_res
------------------------------------------------------------------------------------------------
   100   1.000E-01   4.336E-07   7.152E-12   6.42E-02   8.19E-06       T     211   9.040E-07
   101   1.010E-01   4.376E-07   8.193E-12   6.42E-02   8.19E-06       T     211   9.053E-07
   102   1.020E-01   4.415E-07   5.550E-12   6.42E-02   8.19E-06       T     213   9.787E-07
   103   1.030E-01   4.454E-07   4.090E-12   6.42E-02   8.19E-06       T     219   8.093E-07
   104   1.040E-01   4.493E-07   3.813E-12   6.42E-02   8.19E-06       T     213   7.183E-07
   105   1.050E-01   4.533E-07   6.359E-12   6.42E-02   8.19E-06       T     213   9.265E-07
   106   1.060E-01   4.572E-07   5.462E-12   6.42E-02   8.19E-06       T     215   6.621E-07
   107   1.070E-01   4.612E-07   9.550E-12   6.42E-02   8.19E-06       T     214   9.193E-07
   108   1.080E-01   4.652E-07   3.890E-12   6.42E-02   8.19E-06       T     203   3.693E-07
   109   1.090E-01   4.691E-07   5.211E-12   6.42E-02   8.19E-06       T     211   9.798E-07
   110   1.100E-01   4.733E-07   8.449E-12   6.42E-02   8.19E-06       T     214   8.892E-07
   111   1.110E-01   4.774E-07   1.494E-11   6.42E-02   8.19E-06       T     213   7.849E-07
   112   1.120E-01   4.815E-07   6.052E-12   6.42E-02   8.19E-06       T     215   8.586E-07
   113   1.130E-01   4.857E-07   5.644E-12   6.42E-02   8.19E-06       T     211   9.856E-07
   114   1.140E-01   4.898E-07   6.072E-12   6.42E-02   8.19E-06       T     215   9.081E-07
   115   1.150E-01   4.940E-07   4.921E-12   6.42E-02   8.19E-06       T     213   9.142E-07
   116   1.160E-01   4.982E-07   9.952E-12   6.42E-02   8.19E-06       T     214   9.129E-07
   117   1.170E-01   5.023E-07   8.578E-12   6.42E-02   8.19E-06       T     215   8.819E-07
   118   1.180E-01   5.065E-07   7.215E-12   6.42E-02   8.19E-06       T     210   9.805E-07
   119   1.190E-01   5.107E-07   7.474E-12   6.42E-02   8.19E-06       T     220   7.471E-07
   120   1.200E-01   5.149E-07   5.229E-12   6.42E-02   8.19E-06       T     218   9.648E-07
   121   1.210E-01   5.191E-07   5.087E-12   6.42E-02   8.19E-06       T     217   8.294E-07
   122   1.220E-01   5.234E-07   5.494E-12   6.42E-02   8.19E-06       T     204   8.002E-07
   123   1.230E-01   5.276E-07   8.436E-12   6.42E-02   8.19E-06       T     212   9.577E-07
   124   1.240E-01   5.318E-07   7.876E-12   6.42E-02   8.19E-06       T     212   9.886E-07
   125   1.250E-01   5.361E-07   5.381E-12   6.42E-02   8.19E-06       T     213   8.828E-07
   126   1.260E-01   5.403E-07   8.610E-12   6.42E-02   8.19E-06       T     217   9.570E-07
   127   1.270E-01   5.446E-07   6.768E-12   6.42E-02   8.19E-06       T     213   8.321E-07
   128   1.280E-01   5.489E-07   6.676E-12   6.42E-02   8.19E-06       T     216   8.780E-07
   129   1.290E-01   5.532E-07   5.506E-12   6.42E-02   8.19E-06       T     216   9.049E-07
   130   1.300E-01   5.575E-07   5.018E-12   6.42E-02   8.19E-06       T     212   9.099E-07
   131   1.310E-01   5.618E-07   4.024E-12   6.42E-02   8.19E-06       T     215   8.035E-07
   132   1.320E-01   5.661E-07   5.034E-12   6.42E-02   8.19E-06       T     221   9.507E-07
   133   1.330E-01   5.704E-07   6.678E-12   6.42E-02   8.19E-06       T     211   7.919E-07
   134   1.340E-01   5.748E-07   5.226E-12   6.42E-02   8.19E-06       T     215   9.567E-07
   135   1.350E-01   5.791E-07   6.705E-12   6.42E-02   8.19E-06       T     213   9.612E-07
   136   1.360E-01   5.835E-07   6.316E-12   6.42E-02   8.19E-06       T     217   7.949E-07
   137   1.370E-01   5.878E-07   5.146E-12   6.42E-02   8.19E-06       T     218   9.612E-07
   138   1.380E-01   5.922E-07   5.445E-12   6.42E-02   8.19E-06       T     215   8.189E-07
   139   1.390E-01   5.966E-07   7.003E-12   6.42E-02   8.19E-06       T     219   7.521E-07
   140   1.400E-01   6.010E-07   5.919E-12   6.42E-02   8.19E-06       T     208   4.584E-07
   141   1.410E-01   6.054E-07   3.537E-12   6.42E-02   8.19E-06       T     209   5.132E-07
   142   1.420E-01   6.098E-07   7.486E-12   6.42E-02   8.19E-06       T     216   9.872E-07
   143   1.430E-01   6.142E-07   9.902E-12   6.42E-02   8.19E-06       T     219   9.448E-07
   144   1.440E-01   6.187E-07   8.488E-12   6.42E-02   8.19E-06       T     217   8.583E-07
   145   1.450E-01   6.231E-07   4.975E-12   6.42E-02   8.19E-06       T     212   9.848E-07
   146   1.460E-01   6.276E-07   5.677E-12   6.42E-02   8.19E-06       T     216   9.901E-07
   147   1.470E-01   6.321E-07   6.008E-12   6.42E-02   8.19E-06       T     216   8.681E-07
   148   1.480E-01   6.365E-07   5.732E-12   6.42E-02   8.19E-06       T     224   9.997E-07
   149   1.490E-01   6.410E-07   6.668E-12   6.42E-02   8.19E-06       T     219   9.517E-07
------------------------------------------------------------------------------------------------
   It        time        div*     div_corr    CFL_adv   CFL_diff   p_conv   p_iter     p_res
------------------------------------------------------------------------------------------------
   150   1.500E-01   6.455E-07   4.842E-12   6.42E-02   8.19E-06       T     219   7.621E-07
   151   1.510E-01   6.501E-07   6.171E-12   6.42E-02   8.19E-06       T     220   8.688E-07
   152   1.520E-01   6.546E-07   2.563E-12   6.42E-02   8.19E-06       T     226   2.574E-07
   153   1.530E-01   6.591E-07   6.066E-12   6.42E-02   8.19E-06       T     219   7.293E-07
   154   1.540E-01   6.637E-07   3.185E-12   6.42E-02   8.19E-06       T     217   7.042E-07
   155   1.550E-01   6.682E-07   6.104E-12   6.42E-02   8.19E-06       T     217   9.681E-07
   156   1.560E-01   6.728E-07   4.864E-12   6.42E-02   8.19E-06       T     217   6.827E-07
   157   1.570E-01   6.774E-07   8.994E-12   6.42E-02   8.19E-06       T     216   9.806E-07
   158   1.580E-01   6.820E-07   3.780E-12   6.42E-02   8.19E-06       T     221   6.216E-07
   159   1.590E-01   6.866E-07   6.157E-12   6.43E-02   8.19E-06       T     217   9.910E-07
   160   1.600E-01   6.913E-07   2.922E-12   6.43E-02   8.19E-06       T     222   3.001E-07
   161   1.610E-01   6.960E-07   7.777E-12   6.43E-02   8.19E-06       T     218   7.930E-07
   162   1.620E-01   7.007E-07   5.641E-12   6.43E-02   8.19E-06       T     216   9.166E-07
   163   1.630E-01   7.055E-07   2.361E-12   6.43E-02   8.19E-06       T     232   3.447E-07
   164   1.640E-01   7.103E-07   1.004E-11   6.43E-02   8.19E-06       T     202   8.461E-07
   165   1.650E-01   7.150E-07   5.704E-12   6.43E-02   8.19E-06       T     216   8.796E-07
   166   1.660E-01   7.198E-07   9.445E-12   6.43E-02   8.19E-06       T     219   9.305E-07
   167   1.670E-01   7.246E-07   8.438E-12   6.43E-02   8.19E-06       T     219   9.391E-07
   168   1.680E-01   7.294E-07   5.432E-12   6.43E-02   8.19E-06       T     218   8.903E-07
   169   1.690E-01   7.343E-07   7.179E-12   6.43E-02   8.19E-06       T     224   5.779E-07
   170   1.700E-01   7.391E-07   1.341E-11   6.43E-02   8.19E-06       T     216   8.982E-07
   171   1.710E-01   7.439E-07   1.288E-11   6.43E-02   8.19E-06       T     218   9.958E-07
   172   1.720E-01   7.488E-07   5.732E-12   6.43E-02   8.19E-06       T     212   8.957E-07
   173   1.730E-01   7.537E-07   4.124E-12   6.43E-02   8.19E-06       T     230   5.768E-07
   174   1.740E-01   7.586E-07   3.123E-12   6.43E-02   8.19E-06       T     220   2.766E-07
   175   1.750E-01   7.635E-07   6.406E-12   6.43E-02   8.19E-06       T     221   9.949E-07
   176   1.760E-01   7.684E-07   1.160E-11   6.43E-02   8.19E-06       T     226   8.281E-07
   177   1.770E-01   7.733E-07   4.217E-12   6.43E-02   8.19E-06       T     214   7.877E-07
   178   1.780E-01   7.783E-07   4.290E-12   6.43E-02   8.19E-06       T     214   7.991E-07
   179   1.790E-01   7.832E-07   5.067E-12   6.43E-02   8.19E-06       T     202   7.257E-07
   180   1.800E-01   7.882E-07   1.248E-11   6.43E-02   8.19E-06       T     214   9.464E-07
   181   1.810E-01   7.932E-07   4.817E-12   6.43E-02   8.19E-06       T     216   9.549E-07
   182   1.820E-01   7.982E-07   6.146E-12   6.43E-02   8.19E-06       T     222   8.986E-07
   183   1.830E-01   8.032E-07   7.641E-12   6.43E-02   8.19E-06       T     218   8.959E-07
   184   1.840E-01   8.082E-07   1.096E-11   6.43E-02   8.19E-06       T     219   9.263E-07
   185   1.850E-01   8.132E-07   5.318E-12   6.43E-02   8.19E-06       T     221   9.319E-07
   186   1.860E-01   8.183E-07   4.876E-12   6.43E-02   8.19E-06       T     220   7.778E-07
   187   1.870E-01   8.234E-07   3.435E-12   6.43E-02   8.19E-06       T     219   4.980E-07
   188   1.880E-01   8.285E-07   6.179E-12   6.43E-02   8.19E-06       T     220   7.489E-07
   189   1.890E-01   8.336E-07   4.613E-12   6.43E-02   8.19E-06       T     218   7.419E-07
   190   1.900E-01   8.387E-07   4.152E-12   6.43E-02   8.19E-06       T     218   8.660E-07
   191   1.910E-01   8.438E-07   3.357E-12   6.43E-02   8.19E-06       T     222   5.023E-07
   192   1.920E-01   8.489E-07   6.326E-12   6.43E-02   8.19E-06       T     221   8.121E-07
   193   1.930E-01   8.541E-07   6.276E-12   6.43E-02   8.19E-06       T     220   8.775E-07
   194   1.940E-01   8.593E-07   8.150E-12   6.43E-02   8.19E-06       T     222   8.647E-07
   195   1.950E-01   8.644E-07   4.174E-12   6.43E-02   8.19E-06       T     210   6.685E-07
   196   1.960E-01   8.696E-07   6.054E-12   6.43E-02   8.19E-06       T     215   8.897E-07
   197   1.970E-01   8.748E-07   4.655E-12   6.43E-02   8.19E-06       T     216   5.606E-07
   198   1.980E-01   8.801E-07   1.098E-11   6.43E-02   8.19E-06       T     219   8.765E-07
   199   1.990E-01   8.853E-07   6.107E-12   6.43E-02   8.19E-06       T     221   8.263E-07
------------------------------------------------------------------------------------------------
   It        time        div*     div_corr    CFL_adv   CFL_diff   p_conv   p_iter     p_res
------------------------------------------------------------------------------------------------
   200   2.000E-01   8.906E-07   1.057E-11   6.43E-02   8.19E-06       T     217   7.933E-07
   201   2.010E-01   8.959E-07   6.058E-12   6.43E-02   8.19E-06       T     217   9.301E-07
   202   2.020E-01   9.012E-07   3.538E-12   6.43E-02   8.19E-06       T     218   4.500E-07
   203   2.030E-01   9.065E-07   4.380E-12   6.43E-02   8.19E-06       T     217   9.623E-07
   204   2.040E-01   9.118E-07   4.530E-12   6.43E-02   8.19E-06       T     221   6.951E-07
   205   2.050E-01   9.172E-07   6.070E-12   6.43E-02   8.19E-06       T     224   9.637E-07
   206   2.060E-01   9.225E-07   4.579E-12   6.43E-02   8.19E-06       T     219   8.606E-07
   207   2.070E-01   9.279E-07   3.765E-12   6.43E-02   8.19E-06       T     220   6.575E-07
   208   2.080E-01   9.333E-07   5.090E-12   6.43E-02   8.19E-06       T     221   8.217E-07
   209   2.090E-01   9.387E-07   5.686E-12   6.43E-02   8.19E-06       T     219   9.107E-07
   210   2.100E-01   9.441E-07   7.008E-12   6.43E-02   8.19E-06       T     221   7.365E-07
   211   2.110E-01   9.495E-07   6.915E-12   6.43E-02   8.19E-06       T     222   7.109E-07
   212   2.120E-01   9.550E-07   2.556E-12   6.43E-02   8.19E-06       T     220   2.675E-07
   213   2.130E-01   9.605E-07   6.326E-12   6.43E-02   8.19E-06       T     220   8.362E-07
   214   2.140E-01   9.659E-07   4.567E-12   6.43E-02   8.19E-06       T     222   7.594E-07
   215   2.150E-01   9.714E-07   6.708E-12   6.43E-02   8.19E-06       T     219   8.361E-07
   216   2.160E-01   9.770E-07   3.997E-12   6.43E-02   8.19E-06       T     212   2.814E-07
   217   2.170E-01   9.825E-07   3.404E-12   6.43E-02   8.19E-06       T     220   6.459E-07
   218   2.180E-01   9.881E-07   4.562E-12   6.43E-02   8.19E-06       T     218   5.404E-07
   219   2.190E-01   9.936E-07   4.181E-12   6.43E-02   8.19E-06       T     212   5.323E-07
   220   2.200E-01   9.992E-07   8.503E-12   6.43E-02   8.19E-06       T     221   9.896E-07
   221   2.210E-01   1.005E-06   8.262E-12   6.43E-02   8.19E-06       T     220   8.964E-07
   222   2.220E-01   1.010E-06   6.300E-12   6.43E-02   8.19E-06       T     220   9.295E-07
   223   2.230E-01   1.016E-06   6.817E-12   6.43E-02   8.19E-06       T     205   8.444E-07
   224   2.240E-01   1.022E-06   8.381E-12   6.43E-02   8.19E-06       T     222   8.494E-07
   225   2.250E-01   1.027E-06   7.073E-12   6.43E-02   8.19E-06       T     224   8.727E-07
   226   2.260E-01   1.033E-06   8.139E-12   6.43E-02   8.19E-06       T     205   8.064E-07
   227   2.270E-01   1.039E-06   5.851E-12   6.43E-02   8.19E-06       T     223   7.027E-07
   228   2.280E-01   1.045E-06   5.191E-12   6.43E-02   8.19E-06       T     224   8.091E-07
   229   2.290E-01   1.050E-06   7.245E-12   6.43E-02   8.19E-06       T     213   7.432E-07
   230   2.300E-01   1.056E-06   5.330E-12   6.43E-02   8.19E-06       T     221   7.845E-07
   231   2.310E-01   1.062E-06   3.943E-12   6.43E-02   8.19E-06       T     220   6.348E-07
   232   2.320E-01   1.068E-06   1.457E-12   6.43E-02   8.19E-06       T     216   1.493E-07
   233   2.330E-01   1.074E-06   6.702E-12   6.43E-02   8.19E-06       T     222   9.272E-07
   234   2.340E-01   1.079E-06   4.858E-12   6.43E-02   8.19E-06       T     221   7.997E-07
   235   2.350E-01   1.085E-06   7.998E-12   6.43E-02   8.19E-06       T     219   9.713E-07
   236   2.360E-01   1.091E-06   4.781E-12   6.43E-02   8.19E-06       T     224   7.572E-07
   237   2.370E-01   1.097E-06   4.749E-12   6.43E-02   8.19E-06       T     214   9.920E-07
   238   2.380E-01   1.103E-06   6.528E-12   6.43E-02   8.19E-06       T     223   9.269E-07
   239   2.390E-01   1.109E-06   4.216E-12   6.43E-02   8.19E-06       T     221   7.754E-07
   240   2.400E-01   1.115E-06   8.949E-12   6.43E-02   8.19E-06       T     220   9.672E-07
   241   2.410E-01   1.121E-06   7.047E-12   6.43E-02   8.19E-06       T     225   7.306E-07
   242   2.420E-01   1.127E-06   5.161E-12   6.43E-02   8.19E-06       T     221   8.370E-07
   243   2.430E-01   1.133E-06   7.057E-12   6.43E-02   8.19E-06       T     221   8.693E-07
   244   2.440E-01   1.139E-06   7.881E-12   6.44E-02   8.19E-06       T     222   7.891E-07
   245   2.450E-01   1.145E-06   4.301E-12   6.44E-02   8.19E-06       T     220   8.901E-07
   246   2.460E-01   1.151E-06   4.737E-12   6.44E-02   8.19E-06       T     222   7.181E-07
   247   2.470E-01   1.157E-06   6.069E-12   6.44E-02   8.19E-06       T     222   8.917E-07
   248   2.480E-01   1.163E-06   4.836E-12   6.44E-02   8.19E-06       T     222   7.965E-07
   249   2.490E-01   1.169E-06   7.770E-12   6.44E-02   8.19E-06       T     222   8.768E-07
------------------------------------------------------------------------------------------------
   It        time        div*     div_corr    CFL_adv   CFL_diff   p_conv   p_iter     p_res
------------------------------------------------------------------------------------------------
   250   2.500E-01   1.176E-06   4.854E-12   6.44E-02   8.19E-06       T     220   9.686E-07
   251   2.510E-01   1.182E-06   6.550E-12   6.44E-02   8.19E-06       T     222   7.827E-07
   252   2.520E-01   1.188E-06   7.517E-12   6.44E-02   8.19E-06       T     218   4.729E-07
   253   2.530E-01   1.194E-06   5.059E-12   6.44E-02   8.19E-06       T     223   7.657E-07
   254   2.540E-01   1.200E-06   4.820E-12   6.44E-02   8.19E-06       T     222   9.232E-07
   255   2.550E-01   1.207E-06   5.389E-12   6.44E-02   8.19E-06       T     219   9.188E-07
   256   2.560E-01   1.213E-06   7.724E-12   6.44E-02   8.19E-06       T     220   7.454E-07
   257   2.570E-01   1.219E-06   5.927E-12   6.44E-02   8.19E-06       T     222   6.727E-07
   258   2.580E-01   1.226E-06   5.563E-12   6.44E-02   8.19E-06       T     223   8.134E-07
   259   2.590E-01   1.232E-06   4.001E-12   6.44E-02   8.19E-06       T     225   7.355E-07
   260   2.600E-01   1.238E-06   4.891E-12   6.44E-02   8.19E-06       T     207   7.151E-07
   261   2.610E-01   1.245E-06   3.481E-12   6.44E-02   8.19E-06       T     219   6.453E-07
   262   2.620E-01   1.251E-06   9.137E-12   6.44E-02   8.19E-06       T     223   9.411E-07
   263   2.630E-01   1.258E-06   4.540E-12   6.44E-02   8.19E-06       T     221   9.265E-07
   264   2.640E-01   1.264E-06   7.385E-12   6.44E-02   8.19E-06       T     221   9.268E-07
   265   2.650E-01   1.271E-06   9.117E-12   6.44E-02   8.19E-06       T     205   9.241E-07
   266   2.660E-01   1.277E-06   9.212E-12   6.44E-02   8.19E-06       T     221   8.406E-07
   267   2.670E-01   1.284E-06   7.404E-12   6.44E-02   8.19E-06       T     218   8.176E-07
   268   2.680E-01   1.290E-06   6.917E-12   6.44E-02   8.19E-06       T     223   9.179E-07
   269   2.690E-01   1.297E-06   7.459E-12   6.44E-02   8.19E-06       T     224   9.776E-07
   270   2.700E-01   1.303E-06   4.638E-12   6.44E-02   8.19E-06       T     220   6.742E-07
   271   2.710E-01   1.310E-06   4.025E-12   6.44E-02   8.19E-06       T     219   7.648E-07
